Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7806746,"The Horse and His Boy (Chronicles of Narnia, #3) (Publication Order, #5)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0061974137""","=""9780061974137""",4,3.91,HarperCollins,Kindle Edition,170,2009,1954,2017/01/02,2014/06/15,,,read,,,,1,0
28174068,"The Sin of Certainty: Why God Desires Our Trust More Than Our ""Correct"" Beliefs",Peter Enns,"Enns, Peter",,"=""""","=""""",5,4.25,HarperOne,Kindle Edition,227,2016,2016,2016/12/07,2016/01/05,2016-favorites,2016-favorites (#5),read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.14,Ballantine Books,Hardcover,342,2016,2016,,2016/12/16,to-read,to-read (#101),to-read,,,,0,0
18144117,The Divine Magician: The Disappearance of Religion and the Discovery of Faith,Peter Rollins,"Rollins, Peter",,"=""1451609043""","=""9781451609042""",0,4.02,Howard Books,Paperback,209,2015,2014,,2016/12/07,to-read,to-read (#100),to-read,,,,0,0
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,"=""1592407331""","=""9781592407330""",0,4.29,Avery,Hardcover,287,2012,2012,,2016/12/06,to-read,to-read (#99),to-read,,,,0,0
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",0,4.40,Random House,Mass Market Paperback,384,2002,1980,,2016/12/01,to-read,to-read (#98),to-read,,,,0,0
8520362,The Grand Design,Stephen Hawking,"Hawking, Stephen",Leonard Mlodinow,"=""0553805371""","=""9780553805376""",0,4.06,Bantam,Hardcover,199,2010,2010,,2016/12/01,to-read,to-read (#97),to-read,,,,0,0
19944117,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"Mann, Charles C.",,"=""""","=""""",0,4.05,Vintage,Kindle Edition,864,2006,2005,,2016/08/20,to-read,to-read (#94),to-read,,,,0,0
1037862,A Community Called Atonement (Living Theology),Scot McKnight,"McKnight, Scot",Tony Jones,"=""0687645549""","=""9780687645541""",0,4.12,Abingdon Press,Paperback,177,2007,2007,,2016/11/22,to-read,to-read (#93),to-read,,,,0,0
174845,Life Together: The Classic Exploration of Christian Community,Dietrich Bonhoeffer,"Bonhoeffer, Dietrich",,"=""0060608528""","=""9780060608521""",0,4.28,HarperOne,Paperback,122,1978,1939,,2016/09/04,"to-read, stalled","to-read (#92), stalled (#4)",to-read,,,,0,0
5212566,Binding the Strong Man,Ched Myers,"Myers, Ched",,"=""1570757976""","=""9781570757976""",0,4.46,Orbis Books,Paperback,500,2008,1988,,2016/11/02,to-read,to-read (#91),to-read,,,,0,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",0,4.14,Portfolio,Hardcover,226,2016,2016,,2016/11/02,to-read,to-read (#90),to-read,,,,0,0
